States,Leading Cancer Sites,Count,logCount,cluster
Colorado,Melanoma of the Skin,6458,3.810098040681143,1
Connecticut,Melanoma of the Skin,4401,3.643551368562945,1
Delaware,Melanoma of the Skin,1677,3.2245330626060857,0
District of Columbia,Melanoma of the Skin,126,2.100370545117563,0
Florida,Melanoma of the Skin,35366,4.548585942592136,1
Georgia,Melanoma of the Skin,14407,4.158573556172255,1
Hawaii,Melanoma of the Skin,1982,3.2971036501492565,0
Idaho,Melanoma of the Skin,2604,3.4156409798961542,0
Illinois,Melanoma of the Skin,15233,4.1827854420846835,1
Indiana,Melanoma of the Skin,8246,3.9162433304653397,1
Iowa,Melanoma of the Skin,4975,3.6967930850817443,1
Kansas,Melanoma of the Skin,4286,3.63205216670581,1
Kentucky,Melanoma of the Skin,7059,3.8487431818956837,1
Louisiana,Melanoma of the Skin,4579,3.660770643527697,1
Maine,Melanoma of the Skin,2364,3.3736474722092176,0
Maryland,Melanoma of the Skin,8181,3.912806392661292,1
Massachusetts,Melanoma of the Skin,8718,3.9404168646816653,1
Michigan,Melanoma of the Skin,11919,4.076239819775025,1
Minnesota,Melanoma of the Skin,10285,4.012204296030743,1
Mississippi,Melanoma of the Skin,2959,3.471144965160633,0
Missouri,Melanoma of the Skin,6692,3.825555932290357,1
Montana,Melanoma of the Skin,1753,3.243781916093795,0
Nebraska,Melanoma of the Skin,2836,3.452706226511029,0
Nevada,Melanoma of the Skin,2276,3.3571722577230334,0
New Hampshire,Melanoma of the Skin,2670,3.4265112613645754,0
New Jersey,Melanoma of the Skin,11593,4.064195835864643,1
New Mexico,Melanoma of the Skin,1967,3.2938043599193367,0
New York,Melanoma of the Skin,20707,4.316117183498905,1
North Carolina,Melanoma of the Skin,15063,4.1779114760940095,1
North Dakota,Melanoma of the Skin,871,2.9400181550076634,0
Ohio,Melanoma of the Skin,16790,4.225050696138049,1
Oklahoma,Melanoma of the Skin,4855,3.6861892342440234,1
Oregon,Melanoma of the Skin,6387,3.805296916157985,1
Pennsylvania,Melanoma of the Skin,18578,4.2689989585426735,1
Rhode Island,Melanoma of the Skin,1457,3.16345955176999,0
South Carolina,Melanoma of the Skin,6973,3.843419665204918,1
South Dakota,Melanoma of the Skin,1236,3.092018470752797,0
Tennessee,Melanoma of the Skin,7768,3.8903092168999485,1
Texas,Melanoma of the Skin,18081,4.257222446187574,1
Utah,Melanoma of the Skin,5358,3.7290027092721902,1
Vermont,Melanoma of the Skin,1478,3.1696744340588068,0
Virginia,Melanoma of the Skin,9528,3.979001748474721,1
Washington,Melanoma of the Skin,10564,4.023828392534886,1
West Virginia,Melanoma of the Skin,2521,3.401572845676446,0
Wisconsin,Melanoma of the Skin,8210,3.9143431571194407,1
Wyoming,Melanoma of the Skin,703,2.846955325019824,0
